sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,cost,country_of_manufacture,description,fcc_attribute,gallery,gift_message_available,harmonizedcode_attribute,image,image_label,is_bestseller,is_new,is_sale,item_height,item_length,item_width,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,msrp,msrp_enabled,nafta_attribute,name,price,ready_to_ship,required_options,short_description,sip_attribute,size,small_image,small_image_label,special_from_date,status,tax_class_id,textileindicator_attribute,textileman_attribute,thumbnail,thumbnail_label,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,Shop by Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand/Zorah Biocosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOR973125-PLHP-830724000648,,Default,simple,Health & Beauty,Main Category,base,,,"Zorah Lipgloss gives you a hint of pure Light Capture® mineral pigments for plump and sultry lips. Pure Light Capture® Capture mineral pigments deliver color and exquisite brilliance in this non-sticky lip gloss. This creamy mixture of organic Argan oil with Shea and cocoa butter, repair, nourish and protect your lips. Anti-aging formula for luscious and sensual lips.",,,,,/product_image/ZOR/ZOR973125-PLHP-830724000648.jpg,/product_image/ZOR/ZOR973125-PLHP-830724000648.jpg,No,No,No,4,4,4,Zorah Biocosmetics,,"Natural, Organic, Skin Care Products, Eco-Friendly, Vegan, Gluten Free","Natural, Organic, Skin Care Products, Eco-Friendly, Vegan, Gluten Free",Béa-Lipgloss,24.7,Yes,,Béa-Lipgloss,16.51,,,"Natural, Organic, Skin Care Products, Eco-Friendly, Vegan, Gluten Free",,8 ml,/product_image/ZOR/ZOR973125-PLHP-830724000648.jpg,/product_image/ZOR/ZOR973125-PLHP-830724000648.jpg,,1,6,,,/product_image/ZOR/ZOR973125-PLHP-830724000648.jpg,/product_image/ZOR/ZOR973125-PLHP-830724000648.jpg,4,1,20,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/product_image/ZOR/ZOR973125-PLHP-830724000648.jpg,Béa-Lipgloss,1,0
,,,,Health & Beauty/Makeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand/Zorah Biocosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOR973130-PLHP-830724000631,,Default,simple,Health & Beauty,Main Category,base,,,"Zorah Lipgloss gives you a hint of pure Light Capture® mineral pigments for plump and sultry lips. Pure Light Capture® Capture mineral pigments deliver color and exquisite brilliance in this non-sticky lip gloss. This creamy mixture of organic Argan oil with Shea and cocoa butter, repair, nourish and protect your lips. Anti-aging formula for luscious and sensual lips.",,,,,/product_image/ZOR/ZOR973130-PLHP-830724000631.jpg,/product_image/ZOR/ZOR973130-PLHP-830724000631.jpg,No,No,No,4,4,4,Zorah Biocosmetics,,"Natural, Organic, Skin Care Products, Eco-Friendly, Vegan, Gluten Free","Natural, Organic, Skin Care Products, Eco-Friendly, Vegan, Gluten Free",Ana-Lipgloss,24.7,Yes,,Ana-Lipgloss,16.51,,,"Natural, Organic, Skin Care Products, Eco-Friendly, Vegan, Gluten Free",,8 ml,/product_image/ZOR/ZOR973130-PLHP-830724000631.jpg,/product_image/ZOR/ZOR973130-PLHP-830724000631.jpg,,1,6,,,/product_image/ZOR/ZOR973130-PLHP-830724000631.jpg,/product_image/ZOR/ZOR973130-PLHP-830724000631.jpg,4,1,20,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/product_image/ZOR/ZOR973130-PLHP-830724000631.jpg,Ana-Lipgloss,1,0
,,,,Health & Beauty/Makeup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shop by Brand/Zorah Biocosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
